,,,,,,,,,
Qty,Value,Device,Package,Parts,Description,MANUFACTURER,MFR_PN,PROD_ID,VALUE
1,,53047-05,53047-05,J4,CONNECTOR,,,,
1,,DCBARRELPTH,DCJACK_2MM_PTH,CN1,2.0mm DC Barrel Jack,,,,
4,,M02 5.08MM_SCREWTERM,1X02_5.08_SCREWTERM,"JP2, JP3, JP4, JP5",5.08mm pitch 2 pos screw terminal,On Shore Tech inc.,"OSTTC022162
",,
2,,MA05-1,MA05-1,"J11, J12",,,,,
1,,MA06-1,MA06-1,J41,,,,,
1,,MA07-1,MA07-1,J2,,,,,
1,,MA13-2,MA13-2,J3,,Harwin inc.,"M20-9761346
",,
1,,P1-13,P1-13,TP69,,,,,
2,,REF,REF,"F1, F2",,,,,
3,,ROUND_SMD0.7MM,SMD_ROUND_07MM,"TP9, TP11, TP60",Generic round SMD testpad,,,,
7,,ROUND_SMD1MM,SMD_ROUND_1MM,"TP1, TP2, TP3, TP4, TP5, TP7, TP8",Generic round SMD testpad,,,,
1,,TERM-2,TERM-2,J50,,,,,
4,0,R-US_R0603,R0603,"R161, R163, R178, R180","RESISTOR, American symbol",Panasonic,ERJ-3GEY0R00V,,
2,0.025R,R-0805,805,"R154, R168",,,,,
1,0.047R,R-0805,805,R189,,,,,
1,0.12R,R-0805,805,R188,,,,,
2,0.1u,C-0603,603,"C114, C121",,,,,
15,0.1uF,C-0603,603,"C2, C5, C6, C9, C17, C21, C22, C30, C33, C35, C37, C150, C154, C161, C163",,,,,
2,0.1uF,C-US-NP0603,C0603,"C167, C168","Capacitor, US symbol, non-polarized",,,,
6,0.1uF,C-US-NP0603,C0603,"C125, C126, C132, C139, C140, C147","Capacitor, US symbol, non-polarized",Murata,GRM188R71H104KA93D,,
1,0.22R,R-0603-0RTOP,0603-0RTOP,R25,,,,,
3,0.47uF,C-US-NP0603,C0603,"C174, C175, C177","Capacitor, US symbol, non-polarized",Samsung,CL10B153KB8NNNC,,
2,0.47uF,C-US-NP0603,C0603,"C173, C178","Capacitor, US symbol, non-polarized",Taiyo Yuden,TMK107B7474KA-TR,,
2,0R,R-0603-0RTOP,0603-0RTOP,"R13, R15",,,,,
1,0R,R-US_R0603,R0603,R199,"RESISTOR, American symbol",Rohm,MCR03ERTJ100,,
4,"1.0nF,50V",C-US-NP0603,C0603,"C169, C170, C176, C179","Capacitor, US symbol, non-polarized",Samsung,CL10B102KB8NNNC,,
1,1.65M,R-0603,603,R192,,,,,
5,10,R-US_R0603,R0603,"R157, R158, R171, R172, R198","RESISTOR, American symbol",Rohm,MCR03ERTJ100,,
3,100K,EXB-38,0603-ARRAY,"R2, R20, R21",Resistor array 4x,,,,
1,100K,R-0603,603,R7,,,,,
1,100k,R-US_R0603,R0603,R205,"RESISTOR, American symbol",,,,
2,100k,R-US_R0603,R0603,"R167, R186","RESISTOR, American symbol",Panasonic,ERJ-3GEYJ104V,,
1,100nF,C-0603,603,C4,,,,,
1,100pF,C-US-NP0603,C0603,C146,"Capacitor, US symbol, non-polarized",Samsung,CL10C101JB8NNNC,,
